cantGimnasios,cantPokeparadas,tamMochila,distancia,tamCamino,tiempo
3,1,12,1393,4,14225
3,1,12,1393,4,14466
3,1,12,1393,4,13938
3,1,12,1393,4,14011
3,1,12,1393,4,14249
3,1,12,1393,4,14002
3,1,12,1393,4,13825
3,1,12,1393,4,13828
3,1,12,1393,4,13741
3,1,12,1393,4,14353
3,1,12,1393,4,14059
3,1,12,1393,4,14127
3,1,12,1393,4,14347
3,1,12,1393,4,14419
3,1,12,1393,4,13935
3,1,12,1393,4,14329
3,1,12,1393,4,14193
3,1,12,1393,4,14660
3,1,12,1393,4,14556
3,1,12,1393,4,14196
3,1,12,1393,4,14667
3,1,12,1393,4,14328
3,1,12,1393,4,14141
3,1,12,1393,4,14504
3,1,12,1393,4,14545
3,1,12,1393,4,14285
3,1,12,1393,4,14171
3,1,12,1393,4,14771
3,1,12,1393,4,14052
3,1,12,1393,4,14615
3,1,12,1393,4,14190
3,1,12,1393,4,14888
3,1,12,1393,4,14142
